runNb,runID,trialNb,trType,goalToken,volatility,uncertainty,unavAct,corrAct,bestAct,vertOrd,horizOrd
1,1,1,1,1,2,1,1,2,3,2,3
1,1,2,2,1,2,1,2,1,3,2,3
1,1,3,1,1,2,1,3,2,3,2,3
1,1,4,1,2,2,1,1,3,1,2,3
1,1,5,1,2,2,1,3,2,1,2,3
1,1,6,2,2,2,1,1,3,1,2,3
1,1,7,1,2,2,1,2,3,1,2,3
1,1,8,1,1,2,1,1,2,3,2,3
1,1,9,2,1,2,1,2,1,3,2,3
1,1,10,1,1,2,1,2,1,3,2,3
1,1,11,2,1,2,1,2,1,3,2,3
1,1,12,1,2,2,1,1,3,1,2,3
1,1,13,1,2,2,1,2,3,1,2,3
1,1,14,2,2,2,1,3,2,1,2,3
1,1,15,1,2,2,1,3,2,1,2,3
1,1,16,1,3,2,1,3,1,2,2,3
1,1,17,2,3,2,1,1,3,2,2,3
1,1,18,1,3,2,1,1,3,2,2,3
1,1,19,1,3,2,1,3,1,2,2,3
1,1,20,2,3,2,1,1,3,2,2,3
1,1,21,1,3,2,1,1,3,2,2,3
1,1,22,1,1,2,1,3,2,3,2,3
1,1,23,1,1,2,1,1,2,3,2,3
1,1,24,2,1,2,1,2,1,3,2,3
1,1,25,1,1,2,1,3,2,3,2,3
1,1,26,1,1,2,1,2,1,3,2,3
1,1,27,2,1,2,1,3,2,3,2,3
1,1,28,1,2,2,1,2,3,1,2,3
1,1,29,1,2,2,1,3,2,1,2,3
1,1,30,2,2,2,1,1,3,1,2,3
1,1,31,1,3,2,1,1,3,2,2,3
1,1,32,1,3,2,1,2,1,2,2,3
1,1,33,1,3,2,1,3,1,2,2,3
1,1,34,2,3,2,1,1,3,2,2,3
1,1,35,1,3,2,1,2,1,2,2,3
1,1,36,1,2,2,1,3,2,1,2,3
1,1,37,2,2,2,1,2,3,1,2,3
1,1,38,1,2,2,1,2,3,1,2,3
1,1,39,2,2,2,1,2,3,1,2,3
1,1,40,1,3,2,1,2,1,2,2,3
1,1,41,1,3,2,1,1,3,2,2,3
1,1,42,2,3,2,1,3,1,2,2,3
2,2,1,1,1,1,2,2,1,1,3,1
2,2,2,2,1,1,2,1,3,1,3,1
2,2,3,1,1,1,2,3,1,1,3,1
2,2,4,1,1,1,2,2,1,1,3,1
2,2,5,1,1,1,2,2,1,1,3,1
2,2,6,2,1,1,2,3,1,1,3,1
2,2,7,1,1,1,2,1,3,1,3,1
2,2,8,1,1,1,2,2,1,1,3,1
2,2,9,2,1,1,2,1,3,1,3,1
2,2,10,1,1,1,2,3,1,1,3,1
2,2,11,2,1,1,2,3,1,1,3,1
2,2,12,1,1,1,2,1,3,1,3,1
2,2,13,1,1,1,2,2,1,1,3,1
2,2,14,2,1,1,2,1,3,1,3,1
2,2,15,1,1,1,2,3,1,1,3,1
2,2,16,1,3,1,2,1,3,3,3,1
2,2,17,2,3,1,2,2,3,3,3,1
2,2,18,1,3,1,2,3,2,3,3,1
2,2,19,1,3,1,2,2,3,3,3,1
2,2,20,2,3,1,2,1,3,3,3,1
2,2,21,1,3,1,2,2,3,3,3,1
2,2,22,1,3,1,2,3,2,3,3,1
2,2,23,1,3,1,2,1,3,3,3,1
2,2,24,2,3,1,2,3,2,3,3,1
2,2,25,1,3,1,2,3,2,3,3,1
2,2,26,1,3,1,2,1,3,3,3,1
2,2,27,2,3,1,2,3,2,3,3,1
2,2,28,1,3,1,2,2,3,3,3,1
2,2,29,1,2,1,2,3,2,2,3,1
2,2,30,2,2,1,2,1,2,2,3,1
2,2,31,1,2,1,2,1,2,2,3,1
2,2,32,1,2,1,2,2,1,2,3,1
2,2,33,1,2,1,2,1,2,2,3,1
2,2,34,2,2,1,2,2,1,2,3,1
2,2,35,1,2,1,2,2,1,2,3,1
2,2,36,1,2,1,2,3,2,2,3,1
2,2,37,2,2,1,2,2,1,2,3,1
2,2,38,1,2,1,2,3,2,2,3,1
2,2,39,2,2,1,2,3,2,2,3,1
2,2,40,1,2,1,2,1,2,2,3,1
2,2,41,1,2,1,2,3,2,2,3,1
2,2,42,2,2,1,2,1,2,2,3,1
