runNb,runID,trialNb,trType,goalToken,uncertainty,unavAct,corrAct,bestAct,vertOrd,horizOrd
1,4,1,1,1,1,3,1,1,3,1
1,4,2,1,1,1,1,3,1,3,1
1,4,3,2,1,1,2,1,1,3,1
1,4,4,1,1,1,1,3,1,3,1
1,4,5,1,2,1,1,2,2,3,1
1,4,6,2,2,1,2,1,2,3,1
1,4,7,1,2,1,1,2,2,3,1
1,4,8,2,2,1,3,2,2,3,1
1,4,9,1,3,1,3,2,3,3,1
1,4,10,1,3,1,1,3,3,3,1
1,4,11,2,3,1,3,2,3,3,1
2,3,1,1,2,2,3,2,3,1,3
2,3,2,1,2,2,1,3,3,1,3
2,3,3,2,2,2,3,2,3,1,3
2,3,4,1,2,2,2,3,3,1,3
2,3,5,1,1,2,3,2,2,1,3
2,3,6,2,1,2,1,2,2,1,3
2,3,7,1,1,2,1,2,2,1,3
2,3,8,2,1,2,1,2,2,1,3
2,3,9,1,3,2,3,1,1,1,3
2,3,10,1,3,2,1,3,1,1,3
2,3,11,2,3,2,2,1,1,1,3
3,2,1,1,1,1,3,2,3,2,2
3,2,2,1,1,1,1,3,3,2,2
3,2,3,2,1,1,3,2,3,2,2
3,2,4,1,1,1,2,3,3,2,2
3,2,5,1,3,1,3,2,2,2,2
3,2,6,2,3,1,1,2,2,2,2
3,2,7,1,3,1,1,2,2,2,2
3,2,8,1,3,1,2,1,2,2,2
3,2,9,1,1,1,2,3,3,2,2
3,2,10,2,1,1,3,2,3,2,2
4,1,1,1,2,2,1,2,2,3,1
4,1,2,1,2,2,2,1,2,3,1
4,1,3,2,2,2,3,2,2,3,1
4,1,4,1,2,2,2,1,2,3,1
4,1,5,1,3,2,2,3,3,3,1
4,1,6,2,3,2,3,2,3,3,1
4,1,7,1,3,2,1,3,3,3,1
4,1,8,1,3,2,2,3,3,3,1
4,1,9,1,2,2,3,2,2,3,1
4,1,10,2,2,2,1,2,2,3,1
5,3,1,1,2,1,3,2,3,2,3
5,3,2,1,2,1,1,3,3,2,3
5,3,3,2,2,1,3,2,3,2,3
5,3,4,1,2,1,2,3,3,2,3
5,3,5,1,1,1,3,2,2,2,3
5,3,6,2,1,1,1,2,2,2,3
5,3,7,1,1,1,1,2,2,2,3
5,3,8,2,1,1,1,2,2,2,3
5,3,9,1,3,1,3,1,1,2,3
5,3,10,1,3,1,1,3,1,2,3
5,3,11,2,3,1,2,1,1,2,3
6,4,1,1,1,2,2,3,3,1,2
6,4,2,1,1,2,3,2,3,1,2
6,4,3,2,1,2,1,3,3,1,2
6,4,4,1,1,2,3,2,3,1,2
6,4,5,1,2,2,3,1,1,1,2
6,4,6,2,2,2,1,3,1,1,2
6,4,7,1,2,2,3,1,1,1,2
6,4,8,2,2,2,2,1,1,1,2
6,4,9,1,3,2,2,1,2,1,2
6,4,10,1,3,2,3,2,2,1,2
6,4,11,2,3,2,2,1,2,1,2
7,1,1,1,2,1,2,3,3,1,3
7,1,2,1,2,1,3,2,3,1,3
7,1,3,2,2,1,1,3,3,1,3
7,1,4,1,2,1,3,2,3,1,3
7,1,5,1,3,1,3,1,1,1,3
7,1,6,2,3,1,1,3,1,1,3
7,1,7,1,3,1,2,1,1,1,3
7,1,8,1,3,1,3,1,1,1,3
7,1,9,1,2,1,1,3,3,1,3
7,1,10,2,2,1,2,3,3,1,3
8,2,1,1,1,2,1,3,1,2,1
8,2,2,1,1,2,2,1,1,2,1
8,2,3,2,1,2,1,3,1,2,1
8,2,4,1,1,2,3,1,1,2,1
8,2,5,1,3,2,1,3,3,2,1
8,2,6,2,3,2,2,3,3,2,1
8,2,7,1,3,2,2,3,3,2,1
8,2,8,1,3,2,3,2,3,2,1
8,2,9,1,1,2,3,1,1,2,1
8,2,10,2,1,2,1,3,1,2,1
